"","pathway.code","pathway.name","p.value","Annotated"
"12","hsa00120","Primary bile acid biosynthesis - Homo sapiens (human)",0.00170177254078802,17
"9","hsa00062","Fatty acid elongation - Homo sapiens (human)",0.00195616273055722,25
"2","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.00255584305753103,30
"70","hsa00750","Vitamin B6 metabolism - Homo sapiens (human)",0.00292479282893219,6
"216","hsa04742","Taste transduction - Homo sapiens (human)",0.00488611664787006,83
"139","hsa04122","Sulfur relay system - Homo sapiens (human)",0.00505603808045948,8
"13","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)",0.00753771380827739,10
"37","hsa00480","Glutathione metabolism - Homo sapiens (human)",0.00852234329206228,53
"84","hsa00983","Drug metabolism - other enzymes - Homo sapiens (human)",0.00997641658829164,78
"40","hsa00511","Other glycan degradation - Homo sapiens (human)",0.0131228884630623,15
"312","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",0.013777922606804,200
"18","hsa00232","Caffeine metabolism - Homo sapiens (human)",0.0162710545158984,6
"27","hsa00340","Histidine metabolism - Homo sapiens (human)",0.0188635577019213,21
"75","hsa00790","Folate biosynthesis - Homo sapiens (human)",0.0206015481815237,23
"208","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",0.0224961901762533,144
"20","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",0.0254807982316394,34
"16","hsa00220","Arginine biosynthesis - Homo sapiens (human)",0.0255969747093514,21
"80","hsa00920","Sulfur metabolism - Homo sapiens (human)",0.0295150706607639,9
"260","hsa04976","Bile secretion - Homo sapiens (human)",0.0316404658946036,74
"30","hsa00380","Tryptophan metabolism - Homo sapiens (human)",0.0337938492327166,40
"78","hsa00900","Terpenoid backbone biosynthesis - Homo sapiens (human)",0.0370214930355593,22
"10","hsa00071","Fatty acid degradation - Homo sapiens (human)",0.0486568717908782,42
"8","hsa00061","Fatty acid biosynthesis - Homo sapiens (human)",0.0572080654543149,17
"81","hsa00970","Aminoacyl-tRNA biosynthesis - Homo sapiens (human)",0.0579528047288897,24
"74","hsa00785","Lipoic acid metabolism - Homo sapiens (human)",0.0668204969853473,4
"32","hsa00410","beta-Alanine metabolism - Homo sapiens (human)",0.0710687884856669,30
"248","hsa04950","Maturity onset diabetes of the young - Homo sapiens (human)",0.0738675753331668,17
"66","hsa00650","Butanoate metabolism - Homo sapiens (human)",0.0747244328282873,28
"217","hsa04744","Phototransduction - Homo sapiens (human)",0.0827138458853949,27
"71","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",0.097477972909156,32
"23","hsa00280","Valine, leucine and isoleucine degradation - Homo sapiens (human)",0.0984643077583804,47
"22","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",0.136255367156086,48
"102","hsa03015","mRNA surveillance pathway - Homo sapiens (human)",0.159946510971275,95
"274","hsa05033","Nicotine addiction - Homo sapiens (human)",0.163405536848912,40
"156","hsa04216","Ferroptosis - Homo sapiens (human)",0.173997364926768,37
"56","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)",0.185362970991803,56
"242","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",0.186675855029788,153
"344","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",0.197797959538008,186
"98","hsa02010","ABC transporters - Homo sapiens (human)",0.20498076046523,28
"126","hsa04061","Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)",0.20617940879563,96
"104","hsa03020","RNA polymerase - Homo sapiens (human)",0.242748069642533,31
"73","hsa00780","Biotin metabolism - Homo sapiens (human)",0.256168949161774,3
"36","hsa00470","D-Amino acid metabolism - Homo sapiens (human)",0.258244191337137,5
"79","hsa00910","Nitrogen metabolism - Homo sapiens (human)",0.271581964959113,6
"141","hsa04136","Autophagy - other - Homo sapiens (human)",0.274400757037177,30
"38","hsa00500","Starch and sucrose metabolism - Homo sapiens (human)",0.319951053640264,33
"45","hsa00520","Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)",0.32731593288194,46
"64","hsa00630","Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)",0.368806914972611,29
"59","hsa00600","Sphingolipid metabolism - Homo sapiens (human)",0.370327997447792,53
"28","hsa00350","Tyrosine metabolism - Homo sapiens (human)",0.37121125548276,33
"21","hsa00260","Glycine, serine and threonine metabolism - Homo sapiens (human)",0.374589700580542,39
"261","hsa04977","Vitamin digestion and absorption - Homo sapiens (human)",0.382511020240013,15
"253","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",0.390063112870751,25
"145","hsa04142","Lysosome - Homo sapiens (human)",0.433616677930275,115
"125","hsa04060","Cytokine-cytokine receptor interaction - Homo sapiens (human)",0.489673250898423,266
"47","hsa00531","Glycosaminoglycan degradation - Homo sapiens (human)",0.498977861550258,19
"69","hsa00740","Riboflavin metabolism - Homo sapiens (human)",0.502224533326989,6
"183","hsa04614","Renin-angiotensin system - Homo sapiens (human)",0.545360132329439,19
"26","hsa00330","Arginine and proline metabolism - Homo sapiens (human)",0.562929892697495,49
"65","hsa00640","Propanoate metabolism - Homo sapiens (human)",0.570774622527977,31
"63","hsa00620","Pyruvate metabolism - Homo sapiens (human)",0.581045699968448,46
"31","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",0.602904884447677,5
"262","hsa04978","Mineral absorption - Homo sapiens (human)",0.619241505822588,38
"6","hsa00052","Galactose metabolism - Homo sapiens (human)",0.621266116027971,29
"24","hsa00290","Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)",0.631371827721527,4
"68","hsa00730","Thiamine metabolism - Homo sapiens (human)",0.663839269793208,14
"252","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)",0.664228584161926,19
"46","hsa00524","Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)",0.687546416553622,5
"223","hsa04913","Ovarian steroidogenesis - Homo sapiens (human)",0.701296151226273,49
"263","hsa04979","Cholesterol metabolism - Homo sapiens (human)",0.721761657398894,43
"61","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)",0.739928091984152,14
"57","hsa00591","Linoleic acid metabolism - Homo sapiens (human)",0.76071409955111,27
"34","hsa00440","Phosphonate and phosphinate metabolism - Homo sapiens (human)",0.775861482758005,6
"187","hsa04623","Cytosolic DNA-sensing pathway - Homo sapiens (human)",0.792367123972844,58
"159","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",0.819583141983535,82
"109","hsa03060","Protein export - Homo sapiens (human)",0.821215292017541,21
"3","hsa00030","Pentose phosphate pathway - Homo sapiens (human)",0.826717768016979,29
"62","hsa00604","Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)",0.828764430296811,15
"111","hsa03320","PPAR signaling pathway - Homo sapiens (human)",0.834573214521519,71
"50","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)",0.836501435143503,23
"1","hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)",0.853948323199478,64
"29","hsa00360","Phenylalanine metabolism - Homo sapiens (human)",0.870847011351748,14
"259","hsa04975","Fat digestion and absorption - Homo sapiens (human)",0.900247050629792,39
"110","hsa03250","Viral life cycle - HIV-1 - Homo sapiens (human)",0.90046694067161,51
"105","hsa03022","Basal transcription factors - Homo sapiens (human)",0.90423954415935,43
"25","hsa00310","Lysine degradation - Homo sapiens (human)",0.922968402649438,58
"44","hsa00515","Mannose type O-glycan biosynthesis - Homo sapiens (human)",0.923291302102922,13
"273","hsa05032","Morphine addiction - Homo sapiens (human)",0.928246379094868,89
"256","hsa04972","Pancreatic secretion - Homo sapiens (human)",0.936101862660392,87
"340","hsa05340","Primary immunodeficiency - Homo sapiens (human)",0.942487429197503,36
"257","hsa04973","Carbohydrate digestion and absorption - Homo sapiens (human)",0.944541664760221,41
"42","hsa00513","Various types of N-glycan biosynthesis - Homo sapiens (human)",0.958300248098124,35
"58","hsa00592","alpha-Linolenic acid metabolism - Homo sapiens (human)",0.961900150203764,23
"5","hsa00051","Fructose and mannose metabolism - Homo sapiens (human)",0.963352898423301,30
"291","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.986968321526573,65
"67","hsa00670","One carbon pool by folate - Homo sapiens (human)",0.989084722458784,19
"212","hsa04727","GABAergic synapse - Homo sapiens (human)",0.990457266204276,81
"17","hsa00230","Purine metabolism - Homo sapiens (human)",0.993600581808301,116
"206","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",0.997065164330723,66
"39","hsa00510","N-Glycan biosynthesis - Homo sapiens (human)",0.997181632098934,50
"304","hsa05171","Coronavirus disease - COVID-19 - Homo sapiens (human)",0.99755613251274,223
"116","hsa03450","Non-homologous end-joining - Homo sapiens (human)",0.997678137547799,13
"334","hsa05320","Autoimmune thyroid disease - Homo sapiens (human)",0.998162974181271,50
"51","hsa00561","Glycerolipid metabolism - Homo sapiens (human)",0.998862883379562,58
"60","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)",0.998905404172618,26
"265","hsa05012","Parkinson disease - Homo sapiens (human)",0.999104433032982,239
"287","hsa05143","African trypanosomiasis - Homo sapiens (human)",0.999164081830147,34
"19","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",0.99919807207257,55
"186","hsa04622","RIG-I-like receptor signaling pathway - Homo sapiens (human)",0.999497470065526,68
"112","hsa03410","Base excision repair - Homo sapiens (human)",0.999536187799484,33
"237","hsa04927","Cortisol synthesis and secretion - Homo sapiens (human)",0.999551131637208,59
"254","hsa04970","Salivary secretion - Homo sapiens (human)",0.999613075373543,76
"211","hsa04726","Serotonergic synapse - Homo sapiens (human)",0.999697517030149,110
"171","hsa04392","Hippo signaling pathway - multiple species - Homo sapiens (human)",0.999888049073344,26
"201","hsa04672","Intestinal immune network for IgA production - Homo sapiens (human)",0.999907175726661,44
"185","hsa04621","NOD-like receptor signaling pathway - Homo sapiens (human)",0.999927085323739,168
"49","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)",0.999930365990796,14
"267","hsa05016","Huntington disease - Homo sapiens (human)",0.999931070523467,286
"228","hsa04918","Thyroid hormone synthesis - Homo sapiens (human)",0.999934699785666,68
"301","hsa05168","Herpes simplex virus 1 infection - Homo sapiens (human)",0.999936264372517,420
"55","hsa00565","Ether lipid metabolism - Homo sapiens (human)",0.999942076301732,43
"288","hsa05144","Malaria - Homo sapiens (human)",0.999946876427792,46
"250","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",0.999947294790721,51
"336","hsa05322","Systemic lupus erythematosus - Homo sapiens (human)",0.999962353292686,50
"53","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)",0.999975878348865,24
"266","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",0.999978656104381,335
"48","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)",0.999978799116728,20
"157","hsa04217","Necroptosis - Homo sapiens (human)",0.999987836485465,131
"283","hsa05134","Legionellosis - Homo sapiens (human)",0.999990561578056,52
"277","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",0.999991309200717,50
"339","hsa05332","Graft-versus-host disease - Homo sapiens (human)",0.999991441278564,37
"179","hsa04610","Complement and coagulation cascades - Homo sapiens (human)",0.999991964400905,80
"333","hsa05310","Asthma - Homo sapiens (human)",0.999992447097968,26
"233","hsa04923","Regulation of lipolysis in adipocytes - Homo sapiens (human)",0.999994317835694,53
"221","hsa04911","Insulin secretion - Homo sapiens (human)",0.999995397791618,84
"164","hsa04340","Hedgehog signaling pathway - Homo sapiens (human)",0.999997432372505,52
"140","hsa04130","SNARE interactions in vesicular transport - Homo sapiens (human)",0.999997509752633,32
"101","hsa03013","Nucleocytoplasmic transport - Homo sapiens (human)",0.999997773807141,102
"255","hsa04971","Gastric acid secretion - Homo sapiens (human)",0.999997809451827,71
"239","hsa04929","GnRH secretion - Homo sapiens (human)",0.999998058371454,60
"269","hsa05020","Prion disease - Homo sapiens (human)",0.999998338093663,258
"246","hsa04936","Alcoholic liver disease - Homo sapiens (human)",0.999998826006578,138
"43","hsa00514","Other types of O-glycan biosynthesis - Homo sapiens (human)",0.99999892770108,43
"249","hsa04960","Aldosterone-regulated sodium reabsorption - Homo sapiens (human)",0.999999115333071,36
"202","hsa04710","Circadian rhythm - Homo sapiens (human)",0.999999353318825,30
"52","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",0.999999413991499,72
"163","hsa04330","Notch signaling pathway - Homo sapiens (human)",0.999999622385555,55
"247","hsa04940","Type I diabetes mellitus - Homo sapiens (human)",0.999999713346951,38
"306","hsa05202","Transcriptional misregulation in cancer - Homo sapiens (human)",0.999999744294421,154
"230","hsa04920","Adipocytokine signaling pathway - Homo sapiens (human)",0.999999775902683,68
"142","hsa04137","Mitophagy - animal - Homo sapiens (human)",0.99999979080366,62
"192","hsa04657","IL-17 signaling pathway - Homo sapiens (human)",0.999999843371517,88
"235","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",0.999999886921861,93
"240","hsa04930","Type II diabetes mellitus - Homo sapiens (human)",0.999999897382961,44
"155","hsa04215","Apoptosis - multiple species - Homo sapiens (human)",0.999999937312202,30
"54","hsa00564","Glycerophospholipid metabolism - Homo sapiens (human)",0.999999940092339,93
"337","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",0.999999942511767,88
"338","hsa05330","Allograft rejection - Homo sapiens (human)",0.999999948129596,35
"271","hsa05030","Cocaine addiction - Homo sapiens (human)",0.999999953420458,49
"258","hsa04974","Protein digestion and absorption - Homo sapiens (human)",0.99999995704366,83
"234","hsa04924","Renin secretion - Homo sapiens (human)",0.999999973909869,64
"335","hsa05321","Inflammatory bowel disease - Homo sapiens (human)",0.999999974337228,63
"41","hsa00512","Mucin type O-glycan biosynthesis - Homo sapiens (human)",0.999999977324046,35
"320","hsa05217","Basal cell carcinoma - Homo sapiens (human)",0.99999998087829,63
"190","hsa04640","Hematopoietic cell lineage - Homo sapiens (human)",0.999999985737213,90
"143","hsa04140","Autophagy - animal - Homo sapiens (human)",0.999999985775761,130
"191","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",0.999999994928906,119
"131","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",0.999999997210908,93
"181","hsa04612","Antigen processing and presentation - Homo sapiens (human)",0.999999998183709,67
"165","hsa04350","TGF-beta signaling pathway - Homo sapiens (human)",0.999999998318137,89
"114","hsa03430","Mismatch repair - Homo sapiens (human)",0.999999998421215,23
"184","hsa04620","Toll-like receptor signaling pathway - Homo sapiens (human)",0.999999999469883,98
"128","hsa04064","NF-kappa B signaling pathway - Homo sapiens (human)",0.999999999756116,95
"209","hsa04724","Glutamatergic synapse - Homo sapiens (human)",0.999999999784544,109
"264","hsa05010","Alzheimer disease - Homo sapiens (human)",0.999999999832491,354
"282","hsa05133","Pertussis - Homo sapiens (human)",0.999999999934734,75
"330","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)",0.999999999944892,68
"251","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",0.999999999947436,44
"311","hsa05207","Chemical carcinogenesis - receptor activation - Homo sapiens (human)",0.999999999973553,188
"113","hsa03420","Nucleotide excision repair - Homo sapiens (human)",0.999999999976034,45
"124","hsa04024","cAMP signaling pathway - Homo sapiens (human)",0.999999999980762,216
"278","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",0.999999999996687,69
"178","hsa04550","Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)",0.999999999997909,130
"238","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",0.999999999999454,100
"154","hsa04213","Longevity regulating pathway - multiple species - Homo sapiens (human)",0.999999999999496,61
"189","hsa04630","JAK-STAT signaling pathway - Homo sapiens (human)",0.999999999999576,160
"144","hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)",0.999999999999608,158
"319","hsa05216","Thyroid cancer - Homo sapiens (human)",0.999999999999643,36
"174","hsa04514","Cell adhesion molecules - Homo sapiens (human)",0.999999999999849,132
"214","hsa04730","Long-term depression - Homo sapiens (human)",0.999999999999872,57
"232","hsa04922","Glucagon signaling pathway - Homo sapiens (human)",0.999999999999929,103
"290","hsa05146","Amoebiasis - Homo sapiens (human)",0.999999999999967,99
"272","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.999999999999972,68
"123","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",0.999999999999975,160
"270","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",0.999999999999977,445
"196","hsa04662","B cell receptor signaling pathway - Homo sapiens (human)",0.99999999999998,77
"244","hsa04934","Cushing syndrome - Homo sapiens (human)",0.99999999999999,147
"106","hsa03030","DNA replication - Homo sapiens (human)",0.999999999999991,35
"297","hsa05164","Influenza A - Homo sapiens (human)",0.999999999999992,162
"203","hsa04713","Circadian entrainment - Homo sapiens (human)",0.999999999999993,94
"210","hsa04725","Cholinergic synapse - Homo sapiens (human)",0.999999999999995,109
"115","hsa03440","Homologous recombination - Homo sapiens (human)",0.999999999999996,41
"218","hsa04750","Inflammatory mediator regulation of TRP channels - Homo sapiens (human)",0.999999999999997,91
"345","hsa05416","Viral myocarditis - Homo sapiens (human)",0.999999999999997,57
"161","hsa04270","Vascular smooth muscle contraction - Homo sapiens (human)",0.999999999999998,130
"149","hsa04150","mTOR signaling pathway - Homo sapiens (human)",0.999999999999998,151
"226","hsa04916","Melanogenesis - Homo sapiens (human)",0.999999999999998,101
"153","hsa04211","Longevity regulating pathway - Homo sapiens (human)",0.999999999999999,88
"122","hsa04020","Calcium signaling pathway - Homo sapiens (human)",1,230
"127","hsa04062","Chemokine signaling pathway - Homo sapiens (human)",1,186
"182","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",1,102
"322","hsa05219","Bladder cancer - Homo sapiens (human)",1,39
"108","hsa03050","Proteasome - Homo sapiens (human)",1,46
"117","hsa03460","Fanconi anemia pathway - Homo sapiens (human)",1,54
"118","hsa04010","MAPK signaling pathway - Homo sapiens (human)",1,293
"119","hsa04012","ErbB signaling pathway - Homo sapiens (human)",1,84
"120","hsa04014","Ras signaling pathway - Homo sapiens (human)",1,227
"121","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",1,206
"129","hsa04066","HIF-1 signaling pathway - Homo sapiens (human)",1,108
"130","hsa04068","FoxO signaling pathway - Homo sapiens (human)",1,124
"132","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)",1,118
"133","hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)",1,143
"135","hsa04110","Cell cycle - Homo sapiens (human)",1,125
"136","hsa04114","Oocyte meiosis - Homo sapiens (human)",1,125
"137","hsa04115","p53 signaling pathway - Homo sapiens (human)",1,66
"138","hsa04120","Ubiquitin mediated proteolysis - Homo sapiens (human)",1,139
"146","hsa04144","Endocytosis - Homo sapiens (human)",1,229
"147","hsa04145","Phagosome - Homo sapiens (human)",1,144
"150","hsa04151","PI3K-Akt signaling pathway - Homo sapiens (human)",1,347
"151","hsa04152","AMPK signaling pathway - Homo sapiens (human)",1,118
"152","hsa04210","Apoptosis - Homo sapiens (human)",1,133
"158","hsa04218","Cellular senescence - Homo sapiens (human)",1,150
"160","hsa04261","Adrenergic signaling in cardiomyocytes - Homo sapiens (human)",1,148
"162","hsa04310","Wnt signaling pathway - Homo sapiens (human)",1,158
"166","hsa04360","Axon guidance - Homo sapiens (human)",1,173
"167","hsa04370","VEGF signaling pathway - Homo sapiens (human)",1,58
"168","hsa04371","Apelin signaling pathway - Homo sapiens (human)",1,132
"169","hsa04380","Osteoclast differentiation - Homo sapiens (human)",1,122
"170","hsa04390","Hippo signaling pathway - Homo sapiens (human)",1,152
"172","hsa04510","Focal adhesion - Homo sapiens (human)",1,200
"173","hsa04512","ECM-receptor interaction - Homo sapiens (human)",1,84
"175","hsa04520","Adherens junction - Homo sapiens (human)",1,70
"176","hsa04530","Tight junction - Homo sapiens (human)",1,158
"177","hsa04540","Gap junction - Homo sapiens (human)",1,86
"180","hsa04611","Platelet activation - Homo sapiens (human)",1,120
"188","hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)",1,100
"193","hsa04658","Th1 and Th2 cell differentiation - Homo sapiens (human)",1,90
"194","hsa04659","Th17 cell differentiation - Homo sapiens (human)",1,106
"195","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",1,102
"197","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",1,66
"198","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",1,95
"199","hsa04668","TNF signaling pathway - Homo sapiens (human)",1,110
"200","hsa04670","Leukocyte transendothelial migration - Homo sapiens (human)",1,108
"205","hsa04720","Long-term potentiation - Homo sapiens (human)",1,67
"207","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",1,118
"213","hsa04728","Dopaminergic synapse - Homo sapiens (human)",1,132
"219","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",1,217
"220","hsa04910","Insulin signaling pathway - Homo sapiens (human)",1,135
"222","hsa04912","GnRH signaling pathway - Homo sapiens (human)",1,93
"224","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)",1,94
"225","hsa04915","Estrogen signaling pathway - Homo sapiens (human)",1,114
"227","hsa04917","Prolactin signaling pathway - Homo sapiens (human)",1,67
"229","hsa04919","Thyroid hormone signaling pathway - Homo sapiens (human)",1,114
"231","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",1,149
"236","hsa04926","Relaxin signaling pathway - Homo sapiens (human)",1,127
"241","hsa04931","Insulin resistance - Homo sapiens (human)",1,103
"243","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",1,98
"245","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)",1,118
"268","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",1,131
"275","hsa05034","Alcoholism - Homo sapiens (human)",1,103
"276","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",1,67
"279","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",1,194
"280","hsa05131","Shigellosis - Homo sapiens (human)",1,212
"281","hsa05132","Salmonella infection - Homo sapiens (human)",1,240
"284","hsa05135","Yersinia infection - Homo sapiens (human)",1,135
"285","hsa05140","Leishmaniasis - Homo sapiens (human)",1,73
"286","hsa05142","Chagas disease - Homo sapiens (human)",1,99
"289","hsa05145","Toxoplasmosis - Homo sapiens (human)",1,108
"292","hsa05152","Tuberculosis - Homo sapiens (human)",1,175
"293","hsa05160","Hepatitis C - Homo sapiens (human)",1,153
"294","hsa05161","Hepatitis B - Homo sapiens (human)",1,160
"295","hsa05162","Measles - Homo sapiens (human)",1,135
"296","hsa05163","Human cytomegalovirus infection - Homo sapiens (human)",1,218
"298","hsa05165","Human papillomavirus infection - Homo sapiens (human)",1,323
"299","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",1,216
"300","hsa05167","Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)",1,186
"302","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",1,195
"303","hsa05170","Human immunodeficiency virus 1 infection - Homo sapiens (human)",1,201
"305","hsa05200","Pathways in cancer - Homo sapiens (human)",1,526
"307","hsa05203","Viral carcinogenesis - Homo sapiens (human)",1,163
"309","hsa05205","Proteoglycans in cancer - Homo sapiens (human)",1,197
"310","hsa05206","MicroRNAs in cancer - Homo sapiens (human)",1,154
"313","hsa05210","Colorectal cancer - Homo sapiens (human)",1,85
"314","hsa05211","Renal cell carcinoma - Homo sapiens (human)",1,67
"315","hsa05212","Pancreatic cancer - Homo sapiens (human)",1,75
"316","hsa05213","Endometrial cancer - Homo sapiens (human)",1,57
"317","hsa05214","Glioma - Homo sapiens (human)",1,73
"318","hsa05215","Prostate cancer - Homo sapiens (human)",1,93
"321","hsa05218","Melanoma - Homo sapiens (human)",1,70
"323","hsa05220","Chronic myeloid leukemia - Homo sapiens (human)",1,74
"324","hsa05221","Acute myeloid leukemia - Homo sapiens (human)",1,65
"325","hsa05222","Small cell lung cancer - Homo sapiens (human)",1,91
"326","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",1,70
"327","hsa05224","Breast cancer - Homo sapiens (human)",1,146
"328","hsa05225","Hepatocellular carcinoma - Homo sapiens (human)",1,166
"329","hsa05226","Gastric cancer - Homo sapiens (human)",1,147
"331","hsa05231","Choline metabolism in cancer - Homo sapiens (human)",1,85
"332","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)",1,86
"341","hsa05410","Hypertrophic cardiomyopathy - Homo sapiens (human)",1,89
"342","hsa05412","Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)",1,74
"343","hsa05414","Dilated cardiomyopathy - Homo sapiens (human)",1,94
"346","hsa05417","Lipid and atherosclerosis - Homo sapiens (human)",1,211
"347","hsa05418","Fluid shear stress and atherosclerosis - Homo sapiens (human)",1,135
"86","hsa01100","Metabolic pathways - Homo sapiens (human)",NA,0
"87","hsa01200","Carbon metabolism - Homo sapiens (human)",NA,0
"88","hsa01210","2-Oxocarboxylic acid metabolism - Homo sapiens (human)",NA,0
"89","hsa01212","Fatty acid metabolism - Homo sapiens (human)",NA,0
"90","hsa01230","Biosynthesis of amino acids - Homo sapiens (human)",NA,0
"91","hsa01232","Nucleotide metabolism - Homo sapiens (human)",NA,0
